Gene Symbol	Role in Cancer
MUC1	fusion
MUTYH	TSG
MYB	"oncogene, fusion"
MYC	"oncogene, fusion"
MYCL	oncogene
MYCN	oncogene
MYD88	oncogene
MYH11	fusion
MYH9	"TSG, fusion"
MYO5A	fusion
MYOD1	oncogene
NAB2	"TSG, fusion"
NBN	TSG
NCOA1	fusion
NCOA2	"oncogene, fusion"
NCOA4	"TSG, fusion"
NCOR1	TSG
NCOR2	TSG
NDRG1	"TSG, fusion"
NF1	"TSG, fusion"
NF2	TSG
NFATC2	"oncogene, fusion"
NFE2L2	"oncogene, TSG"
NFIB	fusion
NFKB2	"oncogene, TSG, fusion"
NFKBIE	TSG
NIN	fusion
NKX2-1	"oncogene, TSG"
NONO	fusion
NOTCH1	"oncogene, TSG, fusion"
NOTCH2	"oncogene, TSG"
NPM1	"oncogene, fusion"
NR4A3	"oncogene, fusion"
NRAS	oncogene
NRG1	"TSG, fusion"
NSD1	fusion
NT5C2	oncogene
NTRK1	"oncogene, TSG, fusion"
NTRK3	"oncogene, fusion"
NUMA1	fusion
NUP214	fusion
NUP98	"oncogene, fusion"
NUTM1	"oncogene, fusion"
NUTM2A	fusion
NUTM2B	fusion
OLIG2	"oncogene, fusion"
P2RY8	"oncogene, fusion"
PAFAH1B2	fusion
PALB2	TSG
PAX3	"oncogene, fusion"
PAX5	"oncogene, TSG, fusion"
PAX7	fusion
PAX8	fusion
PBRM1	TSG
PBX1	"oncogene, fusion"
PCM1	fusion
PDCD1LG2	"oncogene, fusion"
PDE4DIP	fusion
PDGFB	"oncogene, fusion"
PDGFRA	"oncogene, fusion"
PDGFRB	"oncogene, fusion"
PER1	"TSG, fusion"
PHF6	TSG
PHOX2B	TSG
PICALM	fusion
PIK3CA	oncogene
PIK3R1	TSG
PIM1	"oncogene, fusion"
PLAG1	"oncogene, fusion"
PLCG1	"oncogene, fusion"
PML	"TSG, fusion"
PMS2	TSG
POLE	TSG
POT1	TSG
POU2AF1	"oncogene, fusion"
POU5F1	"oncogene, fusion"
PPARG	"TSG, fusion"
PPFIBP1	fusion
PPM1D	oncogene
PPP2R1A	TSG
PPP6C	TSG
PRCC	fusion
PRDM1	TSG
PRDM16	"oncogene, fusion"
PREX2	oncogene
PRF1	TSG
PRKACA	oncogene
PRKAR1A	"oncogene, TSG, fusion"
PRRX1	fusion
PSIP1	"oncogene, fusion"
PTCH1	TSG
PTEN	TSG
PTK6	"oncogene, TSG"
PTPN11	oncogene
PTPN13	TSG
PTPRB	TSG
PTPRC	TSG
PTPRK	"TSG, fusion"
PTPRT	TSG
QKI	"oncogene, TSG"
RABEP1	fusion
RAC1	oncogene
RAD21	"oncogene, TSG"
RAD51B	"TSG, fusion"
RAF1	"oncogene, fusion"
RANBP2	"TSG, fusion"
RAP1GDS1	"oncogene, fusion"
RARA	"oncogene, fusion"
RB1	TSG
RBM10	TSG
RBM15	fusion
RECQL4	"oncogene, TSG"
REL	oncogene
RET	"oncogene, fusion"
RHOA	"oncogene, TSG"
RHOH	"TSG, fusion"
RMI2	"TSG, fusion"
RNF213	fusion
RNF43	TSG
ROS1	"oncogene, fusion"
RPL10	TSG
RPL22	"TSG, fusion"
RPL5	TSG
RPN1	fusion
RSPO2	"TSG, fusion"
RSPO3	"oncogene, fusion"
RUNX1	"oncogene, TSG, fusion"
RUNX1T1	"oncogene, TSG, fusion"
SALL4	oncogene
SBDS	TSG
SDC4	fusion
SDHA	TSG
SDHAF2	TSG
SDHB	TSG
SDHC	TSG
SDHD	TSG
SET	"oncogene, fusion"
SETBP1	"oncogene, fusion"
SETD2	TSG
SF3B1	oncogene
SFPQ	"TSG, fusion"
SFRP4	TSG
SH2B3	TSG
SH3GL1	"oncogene, fusion"
SLC34A2	"TSG, fusion"
SLC45A3	fusion
SMAD2	TSG
SMAD3	TSG
SMAD4	TSG
SMARCA4	TSG
SMARCB1	TSG
SMARCD1	TSG
SMARCE1	TSG
SMO	oncogene
SND1	"oncogene, fusion"
SOCS1	TSG
SOX2	oncogene
SPEN	TSG
SPOP	TSG
SRC	oncogene
SRSF2	oncogene
SRSF3	"oncogene, fusion"
SS18	fusion
SS18L1	fusion
SSX1	"oncogene, fusion"
SSX2	"oncogene, fusion"
SSX4	"oncogene, fusion"
STAG2	TSG
STAT3	oncogene
STAT5B	"oncogene, TSG, fusion"
STAT6	"oncogene, fusion"
STIL	"oncogene, fusion"
STK11	TSG
STRN	fusion
SUFU	TSG
SUZ12	"oncogene, TSG, fusion"
SYK	"oncogene, fusion"
TAF15	"oncogene, fusion"
TAL1	"oncogene, fusion"
TAL2	"oncogene, fusion"
TBL1XR1	"oncogene, TSG, fusion"
TBX3	"oncogene, TSG"
TCEA1	fusion
TCF12	fusion
TCF3	"oncogene, TSG, fusion"
TCF7L2	"oncogene, fusion"
TCL1A	"oncogene, fusion"
TERT	"oncogene, TSG"
TET1	"oncogene, TSG, fusion"
TET2	TSG
TFE3	"oncogene, fusion"
TFEB	"oncogene, fusion"
TFG	fusion
TGFBR2	TSG
TLX1	"oncogene, fusion"
TLX3	"oncogene, fusion"
TMEM127	TSG
TMPRSS2	fusion
TNFAIP3	TSG
TNFRSF14	TSG
TNFRSF17	"oncogene, fusion"
TOP1	fusion
TP53	"oncogene, TSG, fusion"
TP63	"oncogene, TSG"
TPM3	"TSG, fusion"
TPM4	fusion
TPR	fusion
TRA	fusion
TRAF7	TSG
TRB	fusion
TRD	fusion
TRIM24	"oncogene, TSG, fusion"
TRIM27	"oncogene, fusion"
TRIM33	"TSG, fusion"
TRIP11	fusion
TRRAP	oncogene
TSC1	TSG
TSC2	TSG
TSHR	oncogene
U2AF1	oncogene
UBR5	TSG
USP6	"oncogene, fusion"
USP8	oncogene
VHL	TSG
WAS	oncogene
WHSC1	"oncogene, fusion"
WHSC1L1	"oncogene, fusion"
WIF1	"TSG, fusion"
WRN	TSG
WT1	"oncogene, TSG, fusion"
WWTR1	"oncogene, fusion"
XPA	TSG
XPC	TSG
XPO1	oncogene
YWHAE	"TSG, fusion"
ZBTB16	"TSG, fusion"
ZFHX3	TSG
ZNF198	fusion
ZNF278	"TSG, fusion"
ZNF331	"TSG, fusion"
ZNF384	fusion
ZNF521	"oncogene, fusion"
ZRSR2	TSG
